part_number, type, qty, datetime, destination, source, notes
217-6515, OUT, 1.0, 2022-01-08 01:05:45, cabinet, , 
217-6515, VERIFY, 14.0, 2022-01-08 01:19:57, cabinet, , 
217-6515, VERIFY, 1.0, 2022-01-08 01:23:57, cabinet, , 
217-6515, VERIFY, 1.0, 2022-01-08 01:25:38, cabinet, , 
217-6515, VERIFY, 1.0, 2022-01-08 01:25:39, cabinet, , 
217-6515, VERIFY, 1.0, 2022-01-08 01:26:32, cabinet, , 
217-6515, VERIFY, 14.0, 2022-01-08 01:28:16, cabinet, , 
217-6515, VERIFY, 10.0, 2022-01-08 01:29:09, cabinet, , 
217-6515, VERIFY, 10.0, 2022-01-08 01:30:36, cabinet, , 
217-6515, VERIFY, 15.0, 2022-01-08 01:30:50, cabinet, , 
217-6515, VERIFY, 14.0, 2022-01-08 01:32:48, cabinet, , 
217-6515, VERIFY, 14.0, 2022-01-08 01:34:33, cabinet, , 
217-6515, VERIFY, 14.0, 2022-01-08 01:36:42, cabinet, , 
15-697867, VERIFY, 5.0, 2022-01-08 01:37:05, cabinet, , 
AM-0546, VERIFY, 3.0, 2022-01-08 01:39:55, cabinet, , 
94669A311, VERIFY, 15.0, 2022-01-08 01:40:05, cabinet, , 
AM-3071, VERIFY, 3.0, 2022-01-08 01:40:43, cabinet, , 
217-6515, IN, 1.0, 2022-01-08 01:49:23, cabinet, , 
217-6515, VERIFY, 14.0, 2022-01-08 01:49:41, cabinet, , 
217-6515, OUT, 1.0, 2022-01-08 18:45:42, cabinet, , 
217-6515, IN, 1.0, 2022-01-08 18:46:42, cabinet, , 
217-6515, VERIFY, 14.0, 2022-01-08 18:47:33, cabinet, , 
